Sample, Channel 3
12800000, 1
14244125, 0
14389074, 1
14460802, 0
14470086, 1
14478406, 0
14488340, 1
14496510, 0
14506223, 1
14514654, 0
14524213, 1
14532375, 0
14542353, 1
14550518, 0
14560232, 1
14568657, 0
14578213, 1
14586405, 0
14596355, 1
14604543, 0
14614254, 1
14640487, 0
14650295, 1
14676798, 0
14686169, 1
14712653, 0
14722250, 1
14748532, 0
14758330, 1
14784827, 0
14794203, 1
14820684, 0
14830303, 1
14856580, 0
14866370, 1
14893038, 0
14902233, 1
14910521, 0
14920424, 1
14928670, 0
14938372, 1
14964577, 0
14974406, 1
14982690, 0
14992404, 1
15000841, 0
15010303, 1
15018568, 0
15028442, 1
15054917, 0
15064298, 1
15090886, 0
15100380, 1
15126727, 0
15136458, 1
15163031, 0
15172338, 1
15180645, 0
15190511, 1
15216965, 0
15226361, 1
15252884, 0
15262444, 1
15288710, 0
15298525, 1
15306805, 0
15316507, 1
15324963, 0
15334399, 1
